name,price,manufacturer,description,image
Dezlorid 5mg Tablet 10'S,80,Intas Pharmaceuticals Ltd,"DEZLORID 5MG contains Desloratadine which belongs to a class of medications called antihistamines, which helps to control allergic reaction and its symptoms This medicine is indicated to relieve symptoms associated with allergic rhinitis (inflammation of the nasal passages caused by an allergy like hay fever or allergy to dust mites). It is also used to relieve the symptoms associated with urticaria (a skin condition caused by an allergy) which includes itching and hives. DEZLORID 5MG works by blocking the action of histamine, a substance in the body which causes allergic symptoms.",https://www.netmeds.com/images/product-v1/150x150/333591/dezlorid_5mg_tablet_10_s_0.jpg
DIO 1 Tablet 10'S,9.7,Unison Pharmaceuticals Pvt Ltd,"DIO 1 contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take DIO 1 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Drusa 180mg Tablet 10'S,105,Maxamus International,"DRUSA contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Elce 5mg Tablet 10'S,50,Ranmarc Labs,"ELCE 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ELCE 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/845452/elce_5mg_tablet_10_s_0.jpg
ELECIT 10mg Tablet 10's,45,Rhythm Pharma India Pvt Ltd,"ELECIT 10MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ELECIT 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ELECIT 5mg Tablet 10's,32,Rhythm Pharma India Pvt Ltd,"ELECIT 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ELECIT 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Elgnil 10mg Tablet 10'S,2.06,Cadila Pharmaceuticals Ltd,"ELGNIL 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ELGNIL 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Elriz 5mg Tablet 10'S,82.5,Zuventus Healthcare Ltd,"ELRIZ contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ELRIZ exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/370138/elriz_5mg_tablet_10s_0_0.jpg
Elriz Syrup 30ml,52.5,Zuventus Healthcare Ltd,"ELRIZ contain Levocetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ELRIZ works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
ELTEGRA 120mg Tablet 10's,95,Scott-Edil Pharmacia Ltd,"ELTEGRA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/895645/eltegra_120mg_tablet_10s_0_0.jpg
ELTEGRA 180mg Tablet 10's,118,Scott-Edil Pharmacia Ltd,"ELTEGRA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/895646/eltegra_180mg_tablet_10s_0_0.jpg
Ethizine 5mg Tablet 10'S,35,Ethinext Pharma Pvt Ltd,"ETHIZINE 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ETHIZINE 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/825672/ethizine_5mg_tablet_10s_0_0.jpg
ETHIZINE 10 Tablet 10's,35,Ethinext Pharma Pvt Ltd,"ETHIZINE 10 contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ETHIZINE 10 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Etofex 120mg Tablet 10'S,99,Leeford Healthcare Ltd (Generics),"ETOFEX contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/823326/etofex_120mg_tablet_10_s_0.jpg
ETOFEX 180 Tablet 10's,160,Leeford Healthcare Ltd (Generics),"ETOFEX 180 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/919876/etofex_180_tablet_10s_0_0.jpg
F DIN 180mg Tablet 10's,150,Kaizen Pharmaceuticals Pvt Ltd,"F DIN 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEEGRA 120mg Tablet 10's,92.8,Johnlee Pharmaceuticals Pvt Ltd,"FEEGRA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEEGRA 180mg Tablet 10's,111.8,Johnlee Pharmaceuticals Pvt Ltd,"FEEGRA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fegra 120mg Tablet 10'S,104.3,Comed Chemicals Limited,"FEGRA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/806646/fegra_120mg_tablet_10_s_0.jpg
Fegra 180mg Tablet 10'S,121,Comed Chemicals Limited,"FEGRA contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/822920/fegra_180mg_tablet_10_s_0.jpg
Fenixa 120mg Tablet 10'S,104,Canixa Life Sciences Pvt Ltd,"FENIXA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/302974/fenixa_120mg_tablet_10_s_0.jpg
Fenixa 180mg Tablet 10'S,160,Canixa Life Sciences Pvt Ltd,"FENIXA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/31342/fenixa_180mg_tablet_10_s_0.jpg
FENOFEXA 120mg Tablet 10's,69,Rhythm Pharma India Pvt Ltd,"FENOFEXA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FENOFEXA 180mg Tablet 10's,86,Rhythm Pharma India Pvt Ltd,"FENOFEXA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEX 120mg Tablet 10'S,131,East West Pharmaceuticals Pvt Ltd,"FEX 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/364307/fex_120mg_tablet_10_s_0.jpg
FEX 180mg Tablet 10'S,176,East West Pharmaceuticals Pvt Ltd,"FEX 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/360462/fex_180mg_tablet_10_s_0.jpg
FEX 30mg Tablet 10'S,35.6,East West Pharmaceuticals Pvt Ltd,"FEX 30MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fexigra 120mg Tablet 10'S,171.82,Cipla Ltd (Generics),"FEXIGRA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXIGUM 120mg Tablet 10's,110,ATLINA LIFESCIENCES PVT LTD,"FEXIGUM 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXIGUM 180mg Tablet 10's,135,ATLINA LIFESCIENCES PVT LTD,"FEXIGUM 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXINID M Tablet 10's,151.8,Indiabulls Pharmaceuticals Ltd,"FEXINID M contain montelukast which belongs to a group of medicine called leukotriene receptor antagonists (LTRAs) It may help to improve symptoms of asthma and allergic rhinitis. Asthma is a condition where the airway of the lungs gets narrowed, swell and may produce extra mucus. This can cause breathing difficulty, coughing and wheezing while you breathe and shortness of breath.",https://www.netmeds.com/images/product-v1/150x150/892596/fexinid_m_tablet_10s_0_0.jpg
FEXOBIT 120mg Tablet 10's,131.5,Brinton Pharmaceuticals Ltd,"FEXOBIT 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/889189/fexobit_120mg_tablet_10s_0_0.jpg
FEXOCAD 180 Tablet 10's,35,Cadila Pharmaceuticals Ltd,"FEXOCAD 180 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXOCET 120MG TABLET 10'S,105.6,Kivi Labs Ltd,"FEXOCET contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXOCON 120 Tablet 10's,72,MINOVA LIFE SCIENCES PVT LTD,"FEXOCON 120 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXOCON 180 Tablet 10's,120,MINOVA LIFE SCIENCES PVT LTD,"FEXOCON 180 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fexoder 120mg Tablet 10'S,135,Elder Pharmaceuticals Ltd (Generics),"FEXODER 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fexoder 180mg Tablet 10'S,207,Elder Pharmaceuticals Ltd (Generics),"FEXODER 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/857709/fexoder_180mg_tablet_10s_0_0.jpg
Fexofen 120mg Tablet 6'S,61.65,Aristo Pharmaceuticals Pvt Ltd,"FEXOFEN 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/812484/fexofen_120mg_tablet_6s_0_0.jpg
Fexofen 180mg Tablet 6'S,76.65,Aristo Pharmaceuticals Pvt Ltd,"FEXOFEN 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/358569/fexofen_180mg_tablet_6s_0_0.jpg
Fexolife 180mg Tablet 10'S,159.5,Dr Johns Laboratories Pvt Ltd,"FEXOLIFE contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXOLIFE 120mg Tablet 10's,119.82,Dr Johns Laboratories Pvt Ltd,"FEXOLIFE 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fexolup 120mg Tablet 6'S,44.45,Lupin Ltd,"FEXOLUP contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fexova 120mg Tablet 10'S,147.55,Ipca Laboratories Ltd,"FEXOVA 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/43741/fexova_120mg_tablet_10_s_0.jpg
Fexova 180mg Tablet 10'S,216,Ipca Laboratories Ltd,"FEXOVA 180MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/388647/fexova_180mg_tablet_10_s_0.jpg
FEXOWAL 120 Tablet 10's,140,Wallace Pharmaceuticals Ltd,"FEXOWAL 120 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
FEXOWAL 180 Tablet 10's,160,Wallace Pharmaceuticals Ltd,"FEXOWAL 180 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Fextim 120mg Tablet 10'S,130,Maestro Pharmaceuticals Ltd,"FEXTIM contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
